Year,City,YP_Section,Name,Address,Cuisine
2001,Scarborough,Restaurants,Pilly's Island Foods,1812 Pharmacy Av,
2001,Scarborough,Restaurants,Pizza-Landia,2 Greystone Walk Dr,
2001,Scarborough,Restaurants,Purdy's Restaurant & Pub,6091 Kingston Rd,
2001,Scarborough,Restaurants,Qiang Kee Congee & Noodles,4192 Sheppard Av E,
2001,Scarborough,Restaurants,R & J Cafe Ltd,3833 Midland Av,
2001,Scarborough,Restaurants,Rafferty's ,2575 Eglinton Av E,
2001,Scarborough,Restaurants,Rani's Taste of India,31 Tapscott Rd ,india
2001,Scarborough,Restaurants,Remeley's Takeout & Catering Service,4830 Sheppard Av E,
2001,Scarborough,Restaurants,Remezzo Italian Bistro,3335 Sheppard Av E,
2001,Scarborough,Restaurants,Robin Roti Place,4138 Sheppard Av E,
2001,Scarborough,Restaurants,Roti Boys,3007 Sheppard Av E,
2001,Scarborough,Restaurants,Roti Hut,351 Pitfield Rd,
2001,Scarborough,Restaurants,Roti & Pelau,15 Lapsley Rd,
2001,Scarborough,Restaurants,Roti Supreme West Indian Restaurant,2797 Eglinton Ave E,
2001,Scarborough,Restaurants,Royal Queen Restaurant,3150 Eglinton Av E,
2001,Scarborough,Restaurants,Ruby Chinese Restaurant Ltd,1571 Sandhurst Circle,
2001,Scarborough,Restaurants,Rural Restaurant,8 Glen Watford Dr,
2001,Scarborough,Restaurants,Sadaghat Restaurant,3342 Danforth Av,ethnic
2001,Scarborough,Restaurants,Sam Woo Seafood Restaurant,325 Bamburgh Cir,
2001,Scarborough,Restaurants,Scarborough Grand Chinese Restaurant,1 Benvenuto Place,
2001,Scarborough,Restaurants,Scarborough Palace Restaurant,3256 Lawrence Av E,
2001,Scarborough,Restaurants,Seventh Heaven Fast Food,2301 Brimley Rd,
2001,Scarborough,Restaurants,Shoeless Joe's,1891 Kennedy Rd,
2001,Scarborough,Restaurants,Shoeless Joe's Scarborough,20 Milner Business Court,
2001,Scarborough,Restaurants,Shot House Pub,1880 Kennedy Rd,
2001,Scarborough,Restaurants,Silver Spoon Restaurant,1548 Warden Ave,
2001,Scarborough,Restaurants,Six Happiness Restaurant,58 Redlea Av,
2001,Scarborough,Restaurants,Soul Food Temptation,2 4387 Kingston Rd ,
2001,Scarborough,Restaurants,Sports Centre Cafe,2753 Eglinton Av E,
2001,Scarborough,Restaurants,Sticks Restaurant Inc,2816 Markham Rd ,
2001,Scarborough,Restaurants,Sun Fai Fast Food,3 Glen Watford Dr,
2001,Scarborough,Restaurants,Sun Set Hut Caribbean Ital Takeout Food,741 Pharmacy Av,
2001,Scarborough,Restaurants,Sun Tung Shing Restaurant,4168 Finch Av E,
2001,Scarborough,Restaurants,Sunrise Restaurant Corp,4286 Kingston Rd,
2001,Scarborough,Restaurants,Sunshine Cafe Bar & Grill,3730 Kingston Rd,
2001,Scarborough,Restaurants,Super Choy Restaurant,2825 Kingston Rd,
2001,Scarborough,Restaurants,Super Sushi House,1891 Kennedy Rd,
2001,Scarborough,Restaurants,Sushi Central Japanese Restaurant,4188 Finch Ave E,
2001,Scarborough,Restaurants,Sushi-Q,3580 McNicoll Av,
2001,Scarborough,Restaurants,Sweet Dreams Karaoke Restaurant,1001 Sandhurst Cir,
2001,Scarborough,Restaurants,Sylvan's Restaurant,2625 Eglinton Av E,
2001,Scarborough,Restaurants,T-Bones Sizzling Steaks & Burgers Drive-In Restaurant,2540 Eglinton Av E,
2001,Scarborough,Restaurants,Tapp's Restaurant,5630 Finch Av E,
2001,Scarborough,Restaurants,Tara Inn,2365 Kingston Rd,
2001,Scarborough,Restaurants,Taya's Family Restaurant ,2260 Birchmount Rd,
2001,Scarborough,Restaurants,Tazz West Indian Cuisine,4567 Sheppard Av E,
2001,Scarborough,Restaurants,Tex's Grill,91 Rylander Blvd,
2001,Scarborough,Restaurants,The Friendly Greek,4410 Kingston Rd,
2001,Scarborough,Restaurants,The Great Steak & Potato Co,2 300 Borough Dr Scrb,
2001,Scarborough,Restaurants,The Olde Stone Cottage & Patio,3750 Kingston Rd,
2001,Scarborough,Restaurants,The Royal Chinese Restaurant,4128 Sheppard Av E,
2001,Scarborough,Restaurants,Timehri Restaurant Inc,4531 Sheppard Av E,
2001,Scarborough,Restaurants,Tradewinds Restaurant & Sports Bar Inc,1067 Midland Av ,
2001,Scarborough,Restaurants,Triple A West Indian Take-Out,204 Markha Rd,
2001,Scarborough,Restaurants,Tugseys Fish And Grille,277 Port Union Rd,
2001,Scarborough,Restaurants,U & Me Restaurant,2347 Kennedy Rd,
2001,Scarborough,Restaurants,Umi Sushi Restaurant,4733 Steeles Ave E,
2001,Scarborough,Restaurants,Vic Hong Restaurant,4419 Sheppard Av E,
2001,Scarborough,Restaurants,Vietnam Noodle Star Ltd,4188 Finch Av E,
2001,Scarborough,Restaurants,Vincent's Spot,2496 Kingston Rd,
2001,Scarborough,Restaurants,Vishal Indian Take-Out And Restaurant,1911 Ellesmere Rd,indian
2001,Scarborough,Restaurants,Wendy's Restaurants Of Canada Inc,4228 Midland Av,
2001,Scarborough,Restaurants,Wimpys Diner,3555 St Clair Av E,
2001,Scarborough,Restaurants,Wimpys Diner,3559 St Clair Av E,
2001,Scarborough,Restaurants,Wobbley Pops Bar And Grill,4637 Kingston Rd,
2001,Scarborough,Restaurants,Zena's Diner & Catering,2703 Eglinton Av E,
2001,Scarborough,Restaurants,Zorba The Greek,85 Ellesmere Rd,
2001,Scarborough,Restaurants,Dairy Queen Canada Inc,1910 Kennedy Rd,
2001,Scarborough,Restaurants,Pearl Vegetarian Ltd,4080 Sheppard E,
1996,Scarborough,Restaurants,ABC Supermarket,4915 Steeles E,
1996,Scarborough,Restaurants,Al-Mustafa Halal Meat & Grocery Ltd,357 Pitfield,
1996,Scarborough,Restaurants,Al-quresh Foods,1879 Lawrence Av E,
1996,Scarborough,Restaurants,Allied Food Service,4500 Shepherd Av E,
1996,Scarborough,Restaurants,Al's Tropical Food Kin,1357 Danforth Rd,
1996,Scarborough,Restaurants,Anu Brothers Inc,267 Morningside,
1996,Scarborough,Restaurants,Asian Food And Video,1960 Lawrence Ac E,
1996,Scarborough,Restaurants,Avm Foodmart Convenience,1183 Victoria Park,
1996,Scarborough,Restaurants,Bamburgh Food Mart,355 Bamburgh Cir,
1996,Scarborough,Restaurants,Best Buy West Indian Store,2400 Eglinton E,
1996,Scarborough,Restaurants,Big Land Farms Milliken Ltd,17 Milliken ,
1996,Scarborough,Restaurants,Caribbean & Oriental Specialty Mart,1170 Morningside,"""East & West Indian"""
1996,Scarborough,Restaurants,Caribbean & Oriental Specialty Mart,15 Westney N,"""East & West Indian"""
1996,Scarborough,Restaurants,Centennial Market,285 Lawson,
1996,Scarborough,Restaurants,Cey-Nore Food Traders,80 Ellesmere,
1996,Scarborough,Restaurants,Charley's West Indian Foods Ltd,1646 Victoria Park,
1996,Scarborough,Restaurants,Charry's Fine Foods,1071 Danforth Rd,
1996,Scarborough,Restaurants,Chueng Sing Supermarket,2950 Birchmount,
1996,Scarborough,Restaurants,City Grocer's & Meats,2245 Kennedy,
1996,Scarborough,Restaurants,Cleopatra Groceries & Delicatessen,1169 Victoria Park,
1996,Scarborough,Restaurants,Cliffcrest Foodtown Limited,2989 Kingston Rd,
1996,Scarborough,Restaurants,Constant Spring Market,731 Kennedy,
1996,Scarborough,Restaurants,Corner Market,3075 Pharmacy Av,
1996,Scarborough,Restaurants,Daily Needs,2543 Pharmacy Av,
1996,Scarborough,Restaurants,Daisy Mart,4865 Sheppard Av E,
1996,Scarborough,Restaurants,Danny Convenience,2422 Kingston Rd,
1996,Scarborough,Restaurants,Deena Halal Meat & Grocery,2680 Lawrence Av E,
