Year,City,YP_Section,Name,Address,Cuisine
1996,Scarborough,Restaurants,Bangkok Paradise Restaurant,25 Wellesley St,
1996,Scarborough,Restaurants,Barberian's Steak House,7 Elm,
1996,Scarborough,Restaurants,Barclay's Steak & Seafood,1921 Lawrence Av E,
1996,Scarborough,Restaurants,Bedrock Barny's Grill,3855 Lawrence Av E,
1996,Scarborough,Restaurants,Beef Noodle King,4271 Sheppard Av E,
1996,Scarborough,Restaurants,Benab Restaurant,2570 Eglinton E,
1996,Scarborough,Restaurants,Bendale Restaurant,3264 Lawrence Ave E,
1996,Scarborough,Restaurants,Benihana The Japanese Steakhouse,100 Front W,
1996,Scarborough,Restaurants,Best Choice,Chartwell Shopping Centre,
1996,Scarborough,Restaurants,Big Joy Noodle and Congee SHop,250 Alton Towers Cir,
1996,Scarborough,Restaurants,Big Pete's Restaurant & Bar,3406 Kingston Rd,
1996,Scarborough,Restaurants,Big Sizzler Restaurant,2816 Markham Rd,
1996,Scarborough,Restaurants,Big Time Burgers Inc,1157 Ellesmere,
1996,Scarborough,Restaurants,Birchmount Tavern,462 Birchmount,
1996,Scarborough,Restaurants,Black Forest Steak House & Tavern,2624 Eglinton E,
1996,Scarborough,Restaurants,Blackhorn Dining Room,251 Ellesmere,
1996,Scarborough,Restaurants,Blue Ribbon Restaurant,210 Markham Rd,
1996,Scarborough,Restaurants,Bluffer's Restaurant,7 Brimley S,
1996,Scarborough,Restaurants,Bo Peep Restrnt & Tavern,2277 Kingston,
1996,Scarborough,Restaurants,Bombay Palace,795 Markham Rd,indian
1996,Scarborough,Restaurants,Bonnie Briar's Pub Restaurant,2384 Eglinton E,
1996,Scarborough,Restaurants,Boomers Bar & Grill,1347 Danforth Rd,
1996,Scarborough,Restaurants,Boy On A Dolphin,1911 Eglinton E,
1996,Scarborough,Restaurants,Break Cafe,305 Milner,
1996,Scarborough,Restaurants,Broom & Stone Two,2572 Lawrence Av E,
1996,Scarborough,Restaurants,Buddhist Vegetarian Kitchen,3290 Midland,
1996,Scarborough,Restaurants,Burger Appetite,1150 Morningside,
1996,Scarborough,Restaurants,Burger Barn,4865 Sheppard Av E,
1996,Scarborough,Restaurants,Burger Deluxe Takeout Steak & Submarines,25 Slan ,
1996,Scarborough,Restaurants,Burger Express,Morningside Mall,
1996,Scarborough,Restaurants,Burger King,2571 Lawrence Av E,
1996,Scarborough,Restaurants,Burger King,415 Danforth Rd,
1996,Scarborough,Restaurants,Burger King,100 Eglinton Sq,
1996,Scarborough,Restaurants,By The Bluffs Dining & Catering,3101 Kingston,
1996,Scarborough,Restaurants,Byzas Restaurant,535 Danforth Av,
1996,Scarborough,Restaurants,CJ's Donuts & Diner,590 Ellesmere,
1996,Scarborough,Restaurants,Cafe Freemantle Ltd,23 Glen Watford Dr,
1996,Scarborough,Restaurants,Can-Cey Restaurant,2817 Eglinton E,
1996,Scarborough,Restaurants,Capers On Location The Restaurant,793 Pharmacy Av,
1996,Scarborough,Restaurants,Captain John's,1 Queen's Quay W,
1996,Scarborough,Restaurants,Carib Country Restaurant,3045 Kingston Rd,
1996,Scarborough,Restaurants,Caribbean Sundance Restaurant & Nightclub,323 Danforth Rd,
1996,Scarborough,Restaurants,Carman's Club Steak & Seafood,26 Alexander,
1996,Scarborough,Restaurants,Carnegie Place,8375 Woodbine,
1996,Scarborough,Restaurants,Caruso's Restaurant & Tavern,260 Markham Rd,
1996,Scarborough,Restaurants,Centennial Restrnt,5516 Lawrence Av E,
1996,Scarborough,Restaurants,Central Burgers & Fish & Chips,1904 Kennedy,
1996,Scarborough,Restaurants,Central Restaurant,2845 Lawrence Av E,
1996,Scarborough,Restaurants,Chandra's Take Out Restaurant & Catering,201 Markham Rd,
1996,Scarborough,Restaurants,Channaman's Caribbean Corner,2480 Eglinton E,
1996,Scarborough,Restaurants,Chez Monsieur Coco,1032 Kingston,
1996,Scarborough,Restaurants,Chick-N-Burger Drive-In,2203 Kingston Rd,
1996,Scarborough,Restaurants,Chick-n-joy,3227 Eglinton E,
1996,Scarborough,Restaurants,Chick-n-joy,4449 Kingston Rd,
1996,Scarborough,Restaurants,Chicken & Noodles Chinese Restaurant,1 Glen Watford Dr,
1996,Scarborough,Restaurants,Chicken Place,4844 Yonge St,
1996,Scarborough,Restaurants,Chicken Rotisserie Chicken,300 Lawrence Av E,
1996,Scarborough,Restaurants,China Buffet King,22 Metropolitan,
1996,Scarborough,Restaurants,Chinese Hut Restaurant ,1867 Kennedy,
1996,Scarborough,Restaurants,Chopstick Foods,3300 Danforth Av,
1996,Scarborough,Restaurants,Chowpatty Vegetarian Restaurant,1541 Victoria Park,south asian
1996,Scarborough,Restaurants,Christopher's Charcoal Pit,3750 Lawrence Av E,
1996,Scarborough,Restaurants,Chuck E Cheese's,2452 Sheppard Av E,
1996,Scarborough,Restaurants,City Cafe,670 Coronation Dr,
1996,Scarborough,Restaurants,City Chinese Restaurant,17 Milliken,
1996,Scarborough,Restaurants,City Limits,3591 Sheppard Av E,
1996,Scarborough,Restaurants,Club Jimmiejacks,733 Birchmount,
1996,Scarborough,Restaurants,Club Mingles Eatery & Dance Emporium,2800 Eglinton E,
1996,Scarborough,Restaurants,CN Tower-360 Revolving Restaurant,301 Front W,
1996,Scarborough,Restaurants,Coalpot Restaurant & Bar,1837 Lawrence Av E,
1996,Scarborough,Restaurants,Coconut Junction Restaurant,1085 Bellamy N,
1996,Scarborough,Restaurants,Colony Restaurant,2014 Lawrence Av E,
1996,Scarborough,Restaurants,Congee King Restaurant,4271 Sheppard Av E,
1996,Scarborough,Restaurants,Copper Kettle Restaurant,1882 Lawrence Av E,
1996,Scarborough,Restaurants,Cordon Bleu Cafe,3280 Midland,
1996,Scarborough,Restaurants,Cornerstone Bar & Grill,1601 Birchmount,
1996,Scarborough,Restaurants,Corvette FIsh & CHips,623 Kennedy Rd,
1996,Scarborough,Restaurants,Cosy Hungarian DIning Room,2448 Kingston,
1996,Scarborough,Restaurants,Country Manor Restaurant & Banquet Hall,1660 O'Connor Dr,
1996,Scarborough,Restaurants,Country Style Donuts,1519 Birchmount East,
1996,Scarborough,Restaurants,Country Style Donuts,4200 Sheppard Av E,
1996,Scarborough,Restaurants,Crystal DIning Lounge,4002 Sheppard Av E,
1996,Scarborough,Restaurants,Cuisine Garden Limited,2950 Birchmount,
1996,Scarborough,Restaurants,CUrry & Roti Restaurant,1732 Lawrence Av E,
1996,Scarborough,Restaurants,Cypriana Restaurant & Tavern,1921 Eglinton E,
1996,Scarborough,Restaurants,Daddy G's ,31 Tapscott,
1996,Scarborough,Restaurants,Da-De's Cuisine,4810 SHeppard Av E,
1996,Scarborough,Restaurants,Dahleez Fine Indian Cuisine,880 Ellesmere,indian
1996,Scarborough,Restaurants,Darby O'Gills,3750 Kingston Rd,
1996,Scarborough,Restaurants,Da Vincenzo Restaurant & Banquet Rooms,2800 Fourteenth,
1996,Scarborough,Restaurants,Daybreak Restaurant,4016 Finch E,
1996,Scarborough,Restaurants,Deli-Inn Inc ,133 Manville,
1996,Scarborough,Restaurants,Delight Fish & CHips,3212 Eglinton E,
1996,Scarborough,Restaurants,Devonsleigh Place,4125 Steeles E,
1996,Scarborough,Restaurants,Diamond West Indian Restaurant,2372 Eglinton E,
1996,Scarborough,Restaurants,Diana Sweets Restaurant,,
1996,Scarborough,Restaurants,Diannaah Jamaican Take Out Restaurant,4403 Kingston Rd,
1996,Scarborough,Restaurants,Dickens Cafe On Finch,4188 Finch,
1996,Scarborough,Restaurants,Domino's Pizza,3453 Victoria Park Av,
1996,Scarborough,Restaurants,Donau Schwaben Club,1686 Ellesmere,
1996,Scarborough,Restaurants,Dragon Dynasty Chinese Cuisine,2301 Brimley,
1996,Scarborough,Restaurants,Dublin Pier,4379 Kingston Rd,
1996,Scarborough,Restaurants,duncan house fine dining,125 moatfield dr,
1996,Scarborough,Restaurants,dynasty noodle rest,8 glen watford dr,
1996,Scarborough,Restaurants,dynasty rest the,3210 danforth av,
1996,Scarborough,Restaurants,dynasty sports bar,4679 kingston rd,
1996,Scarborough,Restaurants,eagledance rest,5005 steeles e,
1996,Scarborough,Restaurants,eagl'es nest family rest,4410 kingsotn rd,
1996,Scarborough,Restaurants,east court rest,25 glen watford dr,
1996,Scarborough,Restaurants,east gate rest,2268 kingston rd,
1996,Scarborough,Restaurants,east moon rest,2150 steeles av w,
1996,Scarborough,Restaurants,east side mario's,100 westney S,
1996,Scarborough,Restaurants,eastown rest,2648 eglinton,
1996,Scarborough,Restaurants,eat well cuisine of china,1754 lawrence av e,
1996,Scarborough,Restaurants,ellas rest banquet & catering,702 paper,
